Accounting UCrt,"['Gain technical knowledge about how to perform a high-quality audit, and gain familiarity with how independence, objectivity, professional skepticism, and ethical behavior contribute to a high-quality.']"
Actuarial Science CAP,[]
Advanced GIS CAP,[]
African Cultural Studies BA,"['(Communication Skills) Communicate effectively through essays, oral presentations, and discussion, so they may share their knowledge, wisdom, and values with others across social and professional settings.']"
African Cultural Studies MA,"['(Communication Skills) Communicate effectively through essays, oral presentations, and discussion, so they may share their knowledge, wisdom, and values with others across social and professional settings.']"
African Cultural Studies PHD,"['(Research Skills) Have an understanding of professional and ethical responsivity with regard to producing original research and working with human subjects.', '(Communication Skills) Communicate effectively through essays, oral presentations, and discussion, so they may share their knowledge, wisdom, and values with others across social and professional settings.']"
African Studies GCrt,"['Regional expertise: advanced knowledge of the societies and cultures of the region through in-depth understanding of the principal historical, social, political, cultural and scientific forces and conditions that have given rise to the unity and diversity in the region today.']"
African Studies UCrt,"['(Historical Grounding) understanding the historical, political, and cultural forces and conditions that have given rise to the unity and diversity in the region today.']"
Afro-American Studies BA,[]
Afro-American Studies MA,[]
Afro-American Studies UCrt,[]
Agricultural & Appl Econ BS,[]
Agricultural & Appl Econ MS,"['Articulates and critiques theories and empirical methods for quantitative analysis relevant to agricultural, environmental, international development, or community economics.', 'Identifies data sources, applies appropriate econometric methodologies, and evaluates quantitative evidence relevant to questions in agricultural, environmental, international development, or community economics.', 'Recognizes and applies principles of ethical, collegial and professional conduct.']"
Agricultural & Appl Econ PHD,"['Articulates and critiques theories and empirical methods to address research issues in agricultural, environmental, international development, or community economics.', 'Identifies data sources, applies appropriate econometric methodologies, and evaluates quantitative evidence relevant to questions in agricultural, environmental, international development, or community economics.', 'Recognizes and applies principles of ethical, collegial and professional conduct.']"
Agricultural Business Mgmt BS,[]
Agroecology MS,"['Learn to engage in careful consideration of the social, economic, and environmental outcomes of different industrial and biological processes.', 'Recognize and apply principles of ethical and professional conduct in their coursework, research, and communications in the field of agroecology.', 'Understand the potential of inclusive participatory processes in research and analysis of agroecological systems.', 'Understand the potential of inclusive participatory processes in research and analysis of agroecological systems.']"
Agronomy BS,"['Articulate the role of biological processes, management systems, environmental influences, and economic and social factors on world food, feed, and fiber production.  Specific topics that all students should have knowledge of include: photosynthesis, nutrient cycling, genetic inheritance, and management and uses of primary U.S. crop species.', 'Develop a global perspective and appreciate the interdependencies among individuals and their workplaces, communities, environments, and the planet; and an understanding of the role of science in society.']"
Agronomy MS,['Recognizes and applies principles of ethical and professional conduct.']
Agronomy PHD,['Fosters ethical and professional conduct.']
American Indian Studies UCrt,[]
Animal Sciences BS,[]
Animal Sciences MS,['Recognizes and applies principles of ethical and professional conduct.']
Animal Sciences PHD,['Fosters ethical and professional conduct.']
Anthropology BA,"['Obtain comparative global knowledge of human diversity, material culture, culture history, and the evolution of people?s relationships with the physical, cultural, and natural world.', 'Distinguish between empirical and speculative narratives and claims about human diversity past and present.']"
Anthropology MA,"['Follows ethical principles of the discipline including respect and sensitivity to host cultures and communities, inclusiveness and diversity, civility and collegiality, and zero tolerance for sexual harassment.', 'Follows ethical principles of the discipline including respect and sensitivity to host cultures and communities, inclusiveness and diversity, civility and collegiality, and zero tolerance for sexual harassment.', 'Follows ethical principles of the discipline including respect and sensitivity to host cultures and communities, inclusiveness and diversity, civility and collegiality, and zero tolerance for sexual harassment.', 'Follows ethical principles of the discipline including respect and sensitivity to host cultures and communities, inclusiveness and diversity, civility and collegiality, and zero tolerance for sexual harassment.']"
Anthropology MS,"['Follows ethical principles of the discipline including respect and sensitivity to host cultures and communities, inclusiveness and diversity, civility and collegiality, and zero tolerance for sexual harassment.', 'Follows ethical principles of the discipline including respect and sensitivity to host cultures and communities, inclusiveness and diversity, civility and collegiality, and zero tolerance for sexual harassment.', 'Follows ethical principles of the discipline including respect and sensitivity to host cultures and communities, inclusiveness and diversity, civility and collegiality, and zero tolerance for sexual harassment.', 'Follows ethical principles of the discipline including respect and sensitivity to host cultures and communities, inclusiveness and diversity, civility and collegiality, and zero tolerance for sexual harassment.']"
Anthropology PHD,"['Follows ethical principles of the discipline including respect and sensitivity to host cultures and communities, inclusiveness and diversity, civility and colleagiality, and zero tolerance for sexual harassment.', 'Follows ethical principles of the discipline including respect and sensitivity to host cultures and communities, inclusiveness and diversity, civility and colleagiality, and zero tolerance for sexual harassment.', 'Follows ethical principles of the discipline including respect and sensitivity to host cultures and communities, inclusiveness and diversity, civility and colleagiality, and zero tolerance for sexual harassment.', 'Follows ethical principles of the discipline including respect and sensitivity to host cultures and communities, inclusiveness and diversity, civility and colleagiality, and zero tolerance for sexual harassment.']"
"Appl Math, Engr & Physics BS",[]
Applied Bioinformatics CAP,[]
Applied Bioinformatics GCrt,[]
Applied Biotechnology MS,['Demonstrate professional and ethical behaviors that foster positive and productive interactions in diverse biotechnology settings ']
Applied Drug Development CAP,[]
Archaeology UCrt,"['gain an appreciation of cultural diversity through time and space.', 'gain an appreciation of cultural diversity through time and space.', 'become aware of the ethical practice of archaeology and heritage preservation.', 'become aware of the ethical practice of archaeology and heritage preservation.']"
Art BFA,[]
Art BS,[]
Art Education BSE,"['Meet all School of Education Teacher Education Standards and DPI k-12 art licensure requirements (including child development and learning theories, history of American Education, and the role of art in literacy education).']"
Art Education MA,[]
Art History BA,[]
Art History MA,[]
Art History PHD,['Fosters ethical and professional conduct.']
Art History UCrt,[]
Art MA,[]
Art MFA,[]
Art Studio UCrt,[]
Arts and Teaching UCrt,"['Gain understanding of the theories of teaching and learning that guide informal learning environments ', 'Develop a framework for arts teaching in informal learning environments ', 'Create an arts program for an informal learning environment that integrates theories of teaching and learning with disciplinary arts practice']"
Asian American Studies UCrt,"['Enhance insights into how Asian Americans are situated in relation to other minoritized groups such as African Americans, Latinxs, and Indigenous peoples in the U.S.']"
Asian Languages & Cultures BA,"['Depth of knowledge: Employ relevant theoretical and methodological approaches to arrive at informed understandings of key issues involving the environment, human rights, cultural practices, structures of power, etc. based on an understanding of the social and cultural ties within Asia as well as between Asia and the rest of the globe.', 'Depth of knowledge: Employ relevant theoretical and methodological approaches to arrive at informed understandings of key issues involving the environment, human rights, cultural practices, structures of power, etc. based on an understanding of the social and cultural ties within Asia as well as between Asia and the rest of the globe.']"
Asian Languages & Cultures MA,['Recognize and apply principles of professional and ethical conduct.']
Asian Languages & Cultures PHD,"['Recognize, apply, and foster ethical and professional conduct.']"
Astronomy - Physics BA,"['Be trained in principles and standards of professional and ethical conduct. Learn when and how to cite references and when it is appropriate to credit the contributions of others or claim credit for one?s own work. Learn what constitutes a professional or unprofessional demeanor and how to apply principles of equality in an educational or workplace setting. Learn how to address a breakdown of professional ethics and standards if experienced or observed.', 'Be trained in principles and standards of professional and ethical conduct. Learn when and how to cite references and when it is appropriate to credit the contributions of others or claim credit for one?s own work. Learn what constitutes a professional or unprofessional demeanor and how to apply principles of equality in an educational or workplace setting. Learn how to address a breakdown of professional ethics and standards if experienced or observed.']"
Astronomy MS,['Recognize and apply principles of ethical and professional conduct.']
Astronomy PHD,['Foster ethical and professional conduct.']
Athletic Healthcare UCrt,[]
Athletic Training BS,[]
Athletic Training MS,"['Apply research methods to develop and evaluate clinical questions applicable to practice-based research environments while demonstrating an understanding of ethical research practice.', 'Apply research methods to develop and evaluate clinical questions applicable to practice-based research environments while demonstrating an understanding of ethical research practice.']"
Atmospheric & Oceanic Sci BA,[]
Atmospheric & Oceanic Sci MS,['(Research Program or Professional Program): Recognize and apply principles of ethical and professional conduct.']
Atmospheric & Oceanic Sci PHD,['Fosters ethical and professional conduct.']
Audiology CP Stevens Point AUD,['(Professional Conduct) Recognize and apply principles of ethical and professional conduct.']
BUS: Supply Chain Mgmt BBA,[]
BUS:ArtsCreatveEntrpLdrshp MAB,"['Engage in ethical decision-making that is sensitive to and informed by a diverse group of stakeholders, when developing and advancing plans of strategy, fund development, entrepreneurial action and evaluation.']"
Bacteriology MS,[]
Biochemistry BA,"['Demonstrate professional and ethical responsibility in scientific research.', 'Demonstrate professional and ethical responsibility in scientific research.']"
Biochemistry BS-ALS,"['Demonstrate professional and ethical responsibility in scientific research.', 'Demonstrate professional and ethical responsibility in scientific research.']"
Biochemistry MS,"['Foster professional and ethical conduct in the sciences, including but not limited to: exposition of the scientific method; ethical design of experimental protocols; reproducibility in science; professional behavior in industrial, government, and academic settings; documentation of scientific results; communication to other scientists and the public; peer review; and confidentiality.']"
Biochemistry PHD,"['Foster professional and ethical conduct in the sciences, including but not limited to: exposition of the scientific method; ethical design of experimental protocols; reproducibility in science; professional behavior in industrial, government, and academic settings; documentation of scientific results; communication to other scientists and the public; peer review; and confidentiality.']"
