SIS_CD,PLAN_DESCR,PLAN_TYPE,PLO_NBR,PLO
CERT004,Accounting UCrt,CRT,1,"Understand the proper presentation, measurement, and reporting financial statement elements and transactions, and the use of financial statement information for analysis purposes."
CERT004,Accounting UCrt,CRT,2,"Understand that financial and nonfinancial information serves numerous purposes in an organization, especially in relation to facilitating and influencing decisions."
CERT004,Accounting UCrt,CRT,3,"Document, evaluate, and recommend improvements to basic accounting information systems used to control processes and communicate information to be used in financial reporting."
CERT004,Accounting UCrt,CRT,4,"Understand the objective of taxes applicable at the federal level, and apply a framework for integrating income tax planning into accounting and business transactions as a foundation for structuring tax efficient business transactions."
CERT004,Accounting UCrt,CRT,5,"Gain technical knowledge about how to perform a high-quality audit, and gain familiarity with how independence, objectivity, professional skepticism, and ethical behavior contribute to a high-quality."
UNCS009,Actuarial Science CAP,CAP,1,"Recognize and explain the concept of risk, and apply the knowledge to the development of insurance products that are used to manage risk for the consumer as well as the risk of those products on the insurance organization."
UNCS009,Actuarial Science CAP,CAP,2,"Describe the actuarial profession, including the major professional organizations, the professional obligations of being an actuary, and the requirements to obtain and maintain a professional actuarial designation."
UNCS009,Actuarial Science CAP,CAP,3,"Demonstrate skills in critical thinking, quantitative analysis, and communication, as well as to develop an appreciation for actuarial theory, research, and the link to practical application."
UNCS009,Actuarial Science CAP,CAP,4,Demonstrate the soft skills of being a professional.
UNCS009,Actuarial Science CAP,CAP,5,Communicate their experiences and inspire others across the WSOB learning community.
UNCS362,Advanced GIS CAP,CAP,1,Become grounded in the conceptual and methodological underpinnings of advanced GIS technology in order to make informed use of complex GIS applications in real world problem solving.
UNCS362,Advanced GIS CAP,CAP,2,Acquire advanced technological skills needed in applying GIS towards a wide variety of disciplines while gaining experience with common commercial and open-source GIS software.
BA  018,African Cultural Studies BA,MAJ,1,"(Content) Recognize canonical authors and texts, historical forms, genres, and structures, and recognize aesthetic and cultural concerns in Africa and its diasporas."
BA  018,African Cultural Studies BA,MAJ,2,"(Content) Demonstrate their understanding of major theories, approaches, concepts, and current and classical research findings in African and diaspora literary and cultural studies."
BA  018,African Cultural Studies BA,MAJ,3,"(Content) Develop a level of proficiency in the different ?ways of knowing? Africa and the diaspora through language, literatures, and cultures."
BA  018,African Cultural Studies BA,MAJ,4,"(Research Skills) Understand their own learning processes and possess the capacity to intentionally seek, evaluate, and learn from information, and recognize and reduce bias in their thinking."
BA  018,African Cultural Studies BA,MAJ,5,"(Research Skills) Effectively retrieve and comprehend primary sources in English and African languages, and secondary sources from a range of disciplines."
BA  018,African Cultural Studies BA,MAJ,6,"(Communication Skills) Develop or improve speaking, listening, writing, reading skills in an African language, and integrate these skills to communicate effectively."
BA  018,African Cultural Studies BA,MAJ,7,"(Communication Skills) Communicate effectively through essays, oral presentations, and discussion, so they may share their knowledge, wisdom, and values with others across social and professional settings."
BA  018,African Cultural Studies BA,MAJ,8,"(Communication Skills) Show knowledge of conventional rhetorical strategies, and integrate research by other authors while distinguishing between their own ideas and those of others."
BA  018,African Cultural Studies BA,MAJ,9,(Communication Skills) Write and speak across disciplinary boundaries with regard to existing research about Africa and the diaspora in the humanities and social sciences.
BA  018,African Cultural Studies BA,MAJ,10,"(Analytical Skills) Discuss cultural texts from various theoretical and critical perspectives, formulate ideas and make connections between literary/cultural concepts and themes."
BA  018,African Cultural Studies BA,MAJ,11,"(Analytical Skills) Demonstrate command of the terminology and methodology of cultural studies, construct complex arguments, and use primary and secondary sources to support arguments."
MA  018L&S,African Cultural Studies MA,MAJ,1,"(Content) Recognize canonical authors and texts, historical forms, genres, and structures, and recognize aesthetic and cultural concerns in Africa and its diasporas."
MA  018L&S,African Cultural Studies MA,MAJ,2,(Content) Develop in-depth knowledge in a sub-field of specialization within African cultural studies.
MA  018L&S,African Cultural Studies MA,MAJ,3,"(Content) Demonstrate their understanding of major theories, approaches, concepts, and current and classical research findings in African and diaspora literary and cultural studies."
