Accounting UCrt,['ethical']
Actuarial Science CAP,[]
Advanced GIS CAP,[]
African Cultural Studies BA,['wisdom']
African Cultural Studies MA,['wisdom']
African Cultural Studies PHD,"['ethical', 'wisdom']"
African Studies GCrt,['diversity']
African Studies UCrt,['diversity']
Afro-American Studies BA,[]
Afro-American Studies MA,[]
Afro-American Studies UCrt,[]
Agricultural & Appl Econ BS,[]
Agricultural & Appl Econ MS,"['environment', 'environment', 'ethical']"
Agricultural & Appl Econ PHD,"['environment', 'environment', 'ethical']"
Agricultural Business Mgmt BS,[]
Agroecology MS,"['environment', 'ethical', 'inclusive', 'participatory']"
Agronomy BS,"['environment', 'environment']"
Agronomy MS,['ethical']
Agronomy PHD,['ethical']
American Indian Studies UCrt,[]
Animal Sciences BS,[]
Animal Sciences MS,['ethical']
Animal Sciences PHD,['ethical']
Anthropology BA,"['diversity', 'diversity']"
Anthropology MA,"['diversity', 'ethical', 'harassment', 'inclusive']"
Anthropology MS,"['diversity', 'ethical', 'harassment', 'inclusive']"
Anthropology PHD,"['diversity', 'ethical', 'harassment', 'inclusive']"
"Appl Math, Engr & Physics BS",[]
Applied Bioinformatics CAP,[]
Applied Bioinformatics GCrt,[]
Applied Biotechnology MS,['ethical']
Applied Drug Development CAP,[]
Archaeology UCrt,"['cultural diversity', 'diversity', 'ethical', 'preservation']"
Art BFA,[]
Art BS,[]
Art Education BSE,['literacy']
Art Education MA,[]
Art History BA,[]
Art History MA,[]
Art History PHD,['ethical']
Art History UCrt,[]
Art MA,[]
Art MFA,[]
Art Studio UCrt,[]
Arts and Teaching UCrt,"['environment', 'environment', 'environment']"
Asian American Studies UCrt,['indigenous peoples']
Asian Languages & Cultures BA,"['environment', 'human rights']"
Asian Languages & Cultures MA,['ethical']
Asian Languages & Cultures PHD,['ethical']
Astronomy - Physics BA,"['equality', 'ethical']"
Astronomy MS,['ethical']
Astronomy PHD,['ethical']
Athletic Healthcare UCrt,[]
Athletic Training BS,[]
Athletic Training MS,"['environment', 'ethical']"
Atmospheric & Oceanic Sci BA,[]
Atmospheric & Oceanic Sci MS,['ethical']
Atmospheric & Oceanic Sci PHD,['ethical']
Audiology CP Stevens Point AUD,['ethical']
BUS: Supply Chain Mgmt BBA,[]
BUS:ArtsCreatveEntrpLdrshp MAB,['ethical']
Bacteriology MS,[]
Biochemistry BA,"['ethical', 'responsibility']"
Biochemistry BS-ALS,"['ethical', 'responsibility']"
Biochemistry MS,['ethical']
Biochemistry PHD,['ethical']
Biocore Curriculum Honors UCrt,['biosphere']
Biological Systems Engin BS,"['environment', 'environment', 'ethical', 'ethical', 'responsibility', 'sustainability']"
Biological Systems Engin MS,['ethical']
Biological Systems Engr PHD,['ethical']
Biology BA,[]
Biology BS-ALS,[]
Biology in Engineering UCrt,['environment']
Biomedical Data Science MS,[]
Biomedical Data Science PHD,['ethical']
Biomedical Engineering BS,"['collaborative', 'environment', 'environment', 'environment', 'ethical', 'inclusive']"
Biomedical Engineering MS,['ethical']
Biomedical Engineering PHD,['ethical']
Biometry MS,['ethical']
Biophysics MS,['ethical']
Biophysics PHD,['ethical']
Biotechnology MS,"['ethical', 'ethical']"
Botany BA,['ecosystem']
Botany MS,"['ecosystem', 'ethical']"
Botany PHD,['ecosystem']
Bus Analytics GCrt,[]
Bus Environment & Soc Res GCrt,"['environment', 'environment', 'social challenge', 'sustainability', 'sustainability', 'sustainability']"
Bus: Accounting BBA,['diversity']
Bus: Accounting MAC,['diversity']
Bus: Actuarial Science BBA,[]
Bus: Analytics MSB,[]
Bus: Arts Administration MAB,['ethical']
Bus: Arts Administration MBA,['ethical']
"Bus: Finance, Invest&Bank BBA",[]
"Bus: Finance, Invest&Bank MBA","['equity', 'equity', 'equity', 'ethical']"
"Bus: Finance, Invest&Bank MSB","['equity', 'equity', 'equity', 'ethical']"
Bus: General Management MBA,"['diversity', 'environment', 'inclusive']"
Bus: General Management MSB,"['environment', 'ethical', 'inclusive', 'responsibility']"
Bus: Information Systems BBA,[]
Bus: International Bus BBA,[]
Bus: Management & Hum Res BBA,"['collaborative', 'environment', 'environment', 'environment', 'environment', 'ethical']"
Bus: Management & Hum Res MBA,[]
Bus: Management & Hum Res MSB,[]
Bus: Marketing BBA,[]
Bus: Marketing MBA,['environment']
Bus: Marketing MSB,['environment']
Bus: Oper & Tech Mgmt BBA,[]
Bus: Oper & Tech Mgmt MBA,[]
Bus: Oper & Tech Mgmt MSB,[]
Bus: RealEst & UrbLandEcon BBA,"['ethical', 'responsibility']"
Bus: RealEst & UrbLandEcon MBA,"['ethical', 'responsibility']"
Bus: RealEst & UrbLandEcon MSB,"['ethical', 'responsibility']"
Bus: Risk Mgmt & Insurance BBA,['environment']
Bus: Risk Mgmt & Insurance MBA,['environment']
Bus: Risk Mgmt & Insurance MSB,['environment']
Bus: Supply Chain Mgmt MBA,[]
Bus: Supply Chain Mgmt MSB,[]
Business Mgmt ALS UCrt,[]
Business PHD,"['environment', 'ethical']"
Business UCrt,[]
Cancer Biology MS,['ethical']
Cancer Biology PHD,['ethical']
Cartogr & Geog Info Sys BA,['environment']
Cartogr & Geog Info Sys MS,['ethical']
Cellular & Molecular Bio MS,['ethical']
Cellular & Molecular Bio PHD,['ethical']
Cellular & Molecular Path MS,['ethical']
Cellular & Molecular Path PHD,['ethical']
Chemical Engineering BS,"['collaborative', 'environment', 'environment', 'environment', 'ethical', 'inclusive']"
Chemical Engineering MS,['ethical']
Chemical Engineering PHD,['ethical']
Chemistry BA,"['collaborative', 'ethical', 'responsibility']"
Chemistry MS,['ethical']
Chemistry PHD,['ethical']
Chicana/o and Lat Studies UCrt,['migration']
Chinese BA,[]
Chinese BSE,[]
Chinese MA,['ethical']
Chinese PHD,['ethical']
Chinese Prof Comm UCrt,[]
Civil & Environmental Engr ME,['ethical']
Civil & Environmental Engr MS,['ethical']
Civil & Environmental Engr PHD,['ethical']
Civil Engineering BS,"['collaborative', 'environment', 'environment', 'environment', 'ethical', 'inclusive']"
Classical & Ancient N East MA,['ethical']
Classical & Ancient N East PHD,['ethical']
Classical Humanities BA,['ethical']
Classical Stds UCrt,['ethical']
Classics BA,[]
Clinic Nutrition-Diet Int CAP,[]
Clinic&Community Outcomes CAP,[]
Clinic&Community Outcomes GCrt,[]
Clinical Health Informatic CAP,"['collaborative', 'ethical']"
Clinical Health Informatics MS,"['collaborative', 'ethical']"
Clinical Investigation MS,"['ethical', 'responsible']"
Clinical Investigation PHD,"['ethical', 'responsible']"
Clinical Nurse Specialist CAP,[]
Clinical Nutrition CAP,[]
Clinical Nutrition MS,[]
Clinical Rehab Counseling MS,['ethical']
Cnsr Behvr & Mktplce Stds BS,"['collaborative', 'environment', 'well-being']"
Comm Sciences & Disorders BA,[]
Comm Sciences & Disorders BSE,[]
Comm Sciences & Disorders CAP,[]
Comm Sciences & Disorders MS,['ethical']
Comm Sciences & Disorders PHD,[]
Comm-Engaged Scholrshp GCrt,"['collaborative', 'equitable', 'participatory']"
Comm-Engaged Scholrshp MIN,"['collaborative', 'equitable', 'participatory']"
Communication Arts BA,[]
Communication Arts MA,['ethical']
Communication Arts PHD,['ethical']
Community & Env Soc BS,['environment']
Community&Nonprofit Ldrshp BS,"['civil society', 'diversity', 'ethical', 'literacy', 'social justice', 'well-being', 'well-being']"
Community&Nonprofit Ldrshp CAP,[]
Comp Biomedical Sciences MS,['ethical']
Comp Biomedical Sciences PHD,"['ethical', 'ethical']"
Comp Lit and Folklore St BA,[]
Comp Lit and Folklore St MA,['ethical']
Comp Lit and Folklore St PHD,['ethical']
Comp Sci for Professionals CAP,[]
