,Academic Courses,Learning Outcomes,Undergraduate Program,Graduate Program,Immersive Experience,Sustainability Literacy Assessment,Incentives for Developing Courses,Campus as a Living Laboratory,Research and Scholarship,Support for Sustainability Research,Open Access to Research,Student Educators Program,Student Orientation,Student Life,Outreach Materials and Publications,Outreach Campaign,Assessing Sustainability Culture,Employee Educators Program,Employee Orientation,Staff Professional Development and Training,Community Partnerships,Inter-Campus Collaboration,Continuing Education,Community Service,Participation in Public Policy,Trademark Licensing,Emissions Inventory and Disclosure,Greenhouse Gas Emissions,Building Design and Construction,Building Operations and Maintenance,Building Energy Efficiency,Clean and Renewable Energy,Food and Beverage Purchasing,Sustainable Dining,Landscape Management,Biodiversity,Sustainable Procurement,Electronics Purchasing,Cleaning and Janitorial Purchasing,Office Paper Purchasing,Campus Fleet,Commute Modal Split,Support for Sustainable Transportation,Waste Minimization and Diversion,Construction and Demolition Waste Diversion,Hazardous Waste Management,Water Use,Rainwater Management,Sustainability Coordination,Sustainability Planning,Inclusive and Participatory Governance,Reporting Assurance,Diversity and Equity Coordination,Assessing Diversity and Equity,Support for Underrepresented Groups,Affordability and Access,Committee on Investor Responsibility,Sustainable Investment,Investment Disclosure,Employee Compensation,Assessing Employee Satisfaction,Wellness Program,Workplace Health and Safety,Bicycle Friendly University,Carbon Mitigation Project Development,Community Garden,External Reporting Assurance,Fair Trade Campus,Food Bank,Green Athletics,Green Event Certification,Green Laboratory Program,Grounds Certification,Network for Student Social Innovation,Online Sustainability Course,Serving Underrepresented Students,Sustainability Projects Fund,Voter Education and Support,Innovation A,Innovation B,Innovation C,Link,Support for Research,Staff Professional Development,Outdoor Air Quality,Building Energy Consumption,Student Commute Modal Split,Employee Commute Modal Split,Participatory Governance,Pre-Submission Review,Sustainability Course Designation,Innovation D,Green Laboratories,Sustainable Dining Certification,Single-Use Plastic Ban,Certified Green Cleaning,Dining Services Certification,Diversity and Equity Recognition,Textbook Affordability,Zero Waste Certification,Wellbeing Certification,Natural Wastewater Systems,Campus Pride Index,Nitrogen Footprint,Adjunct Faculty Compensation,Pest Management Certification,Serving Underrepresented Groups,Social Enterprise,Spend Analysis,Stakeholder Engagement Standard,Stormwater Modeling,Student Living Wage,Sustainability Office Diversity Program,Water Balance,Work College,Full-Time Faculty Employment,Sanctuary Institution,Anchor Institution Network,Pay Scale Equity,NSSE Sustainability Education Consortium,Community Stakeholder Engagement,Hospital Network,Center for Sustainability Across the Curriculum,Academy-Industry Connections,Green Cleaning Certification,Fleet Certification,Laboratory Animal Welfare,Energy System Certification,Campus Water Balance,Health and Safety Management Certification,sum
Totals,14,8,3,3,2,4,2,4,12,4,2,4,2,2,2,4,1,3,1,2,3,3,5,5,2,2,3,8,3,5,6,4,6,2,2,1,3,1,1,1,1,5,1,8,1,1,6,2,1,4,3,1,2,1,3,4,2,4,1,3,1,1,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,4,2,1,6,2,2,3,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,0.5,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,251
university of california irvine ca,14,8,3,3,2,2,2,4,12,4,2,3.78,2,2,2,4,1,2.73,1,1.25,3,3,5,3.72,2,2,2.42,4.7,3,2.05,4.4,0.73,1.64,2,1,2,3,1,0.81,0.28,0.49,3.81,1,5.43,0.83,1,5.55,2,1,4,3,1,2,1,3,3,2,3.19,1,1.98,1,1,1.61,0.5,0,0.5,0,0.5,0.5,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,https://reports.aashe.org/institutions/university-of-california-irvine-ca/report/2021-08-11/,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.4
arizona state university az,11.98,7.33,3,3,2,4,2,4,12,4,1.33,2.62,2,2,2,4,1,3,1,1.25,3,3,4.93,3.61,2,2,3,8,2.67,2,4.53,2.04,1.9,2,1,0,3,0.8,0.85,0.8,0.45,3.41,1,5.3,0.83,1,5.01,2,1,3,2.13,1,1.56,0.75,3,2.52,2,4,0.5,0.53,0.21,1,1.86,0.25,0.5,0.5,0.5,0.5,0.5,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,https://reports.aashe.org/institutions/arizona-state-university-az/report/2020-03-05/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.95
stanford university ca,12.2,8,3,3,2,4,2,4,12,0,1,4,2,2,2,4,1,3,1,0,3,3,5,3.85,2,2,0,8.02,1.5,2.23,0,2.23,1.67,2,1,2,3,0.97,0.51,0.23,0.44,0,2,4.02,0.73,1,6,2,1,4,0,0,2,1,3,3.87,1,1.33,0,3,1,1,1.07,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,1,1,0,https://reports.aashe.org/institutions/stanford-university-ca/report/2019-02-22/,4,1.5,1,5.14,1.76,1.01,2.25,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.03
colorado state university co,14,8,3,3,2,4,2,4,12,0,2,4,2,2,2,4,1,3,1,0,3,3,5,4.31,2,2,0,6.06,2,2.03,0,0.54,0.42,2,1.66,2,3,1,0.92,0.29,0.1,0,2,5.17,0.82,1,5.8,2,1,4,0,0,2,1,3,2.98,2,2.53,0.37,1.9,1,1,1.82,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,1,1,0,https://reports.aashe.org/institutions/colorado-state-university-co/report/2019-12-06/,4,1.75,1,3.6,1.38,0.6,2.75,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.8
university of california berkeley ca,13.94,6.37,3,3,2,2,2,4,11.12,4,2,4,2,2,2,4,1,2.17,1,1.25,3,3,5,2.78,2,2,2.46,4.13,2.49,2,2.89,0.08,1.79,2,1.95,2,3,0.52,0.61,0.6,0.13,4.28,1,5.29,0.98,1,3.82,2,1,4,2.5,1,2,1,3,3,2,3.19,1,2.3,1,1,1.58,0.25,0,0.5,0,0.5,0.5,0.25,0.25,0.5,0.5,0,0,0,0.5,0,0.5,0.5,0.5,https://reports.aashe.org/institutions/university-of-california-berkeley-ca/report/2021-03-04/,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.97
thompson rivers university bc,14,5.7,3,3,2,4,2,4,12,0,0,4,2,2,2,4,1,2.85,1,0,3,3,4.84,3.43,2,2,0,9.58,0,2,0,4,0.95,2,1.38,2,2.75,0.61,1,0.78,0.28,0,2,6.83,0.93,1,2.31,1,1,4,0,0,1.89,1,3,3.65,0,1,1,1.35,1,1,1.47,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/thompson-rivers-university-bc/report/2018-05-31/,4,2,1,4.35,1.72,1.28,3,0.5,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.43
university of connecticut ct,13.14,8,3,3,2,4,2,4,12,0,2,4,2,2,2,4,1,3,1,0,3,3,5,5,2,2,0,5.43,2.09,1.52,0,0.07,3.65,2,1,2,3,0.62,0.77,0.41,0.13,0,2,4,0.84,1,5,2,1,4,0,0,2,1,3,3.03,0.5,1.27,0,1.47,1,1,0.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,https://reports.aashe.org/institutions/university-of-connecticut-ct/report/2020-03-06/,4,2,1,3.73,1.46,0.95,2.75,0,0,1,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.16
cornell university ny,12.44,7.37,3,3,2,4,2,4,12,4,2,4,2,2,2,4,1,2.86,1,2,3,3,5,4.23,2,2,2.83,5.15,2.7,1.77,3.98,0.81,1.04,2,1.21,2,3,0.8,0.18,0.2,0.05,3.33,1,4.18,0.5,1,5,1,1,4,2.63,1,1.89,1,3,3,2,2.69,0,0.98,1,0.75,0.91,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0.5,https://reports.aashe.org/institutions/cornell-university-ny/report/2021-03-04/,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.48
universite de sherbrooke qc,12.58,5.53,3,3,2,2,2,4,12,0,2,4,2,2,2,4,0.25,3,1,0,3,3,5,2.93,2,2,0,8.59,1.25,1.92,0,0.02,1.76,2,1.97,2,2.5,0.97,0.95,1,0.47,0,2,7.05,0.9,1,4,2,1,4,0,0,1.56,0.75,3,1,2,1.33,0.86,3,0,1,0.99,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,1,1,0,https://reports.aashe.org/institutions/universite-de-sherbrooke-qc/report/2019-12-06/,4,1.5,1,4.53,1.4,1.22,3,0,0,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.28
